Time,Flow,Level
0,2000,260.258
0.166666667,2000,260.258
0.333333333,2000,260.258
0.666666667,2000,260.258
0.833333333,2000,260.258
1,2000,260.258
1.333333333,2000,260.258
1.666666667,2000,260.258
2,2000,260.258
2.166666667,2000,260.258
2.333333333,2000,260.258
3,2000,260.258
3.333333333,2000,260.258
4,2000,260.258
4.166666667,2000,260.258
4.666666667,2000,260.258
5,2000,260.258
5.333333333,2000,260.258
6,2000,260.258
6.333333333,2000,260.258
6.833333333,2000,260.258
7,2000,260.258
8,2000,260.258
8.333333333,2000,260.258
9,2000,260.258
9.333333333,2000,260.258
9.833333333,2000,260.258
10,2000,260.258
10.33333333,2000,260.258
11,2000,260.258
11.33333333,2000,260.258
11.66666667,2000,260.258
12,2000,260.258
12.83333333,2000,260.258
13,2000,260.258
14,2000,260.258
15,2011,260.274
16,2063,260.348
16.33333333,2084,260.377
16.66666667,2109,260.413
17,2129,260.441
17.33333333,2158,260.48
17.5,2174,260.502
18,2211,260.553
18.66666667,2258,260.617
19,2272,260.635
20,2312,260.688
21,2329,260.711
22,2317,260.695
23,2351,260.74
24,2382,260.78
25,2436,260.851
25.66666667,2491,260.92
25.83333333,2508,260.942
26,2513,260.948
26.16666667,2534,260.975
26.33333333,2551,260.996
26.5,2571,261.021
26.83333333,2604,261.063
27,2622,261.085
27.16666667,2645,261.113
27.5,2680,261.156
27.83333333,2709,261.191
28,2723,261.208
28.33333333,2764,261.258
28.5,2786,261.284
29,2820,261.324
29.16666667,2845,261.354
30,2904,261.423
30.33333333,2939,261.463
31,2983,261.514
31.16666667,3000,261.534
31.83333333,3053,261.594
32,3061,261.604
32.16666667,3079,261.624
32.83333333,3115,261.664
33,3134,261.684
33.5,3181,261.733
34,3219,261.773
34.16666667,3234,261.789
34.5,3268,261.825
34.66666667,3291,261.849
34.83333333,3320,261.879
35,3361,261.921
35.16666667,3402,261.963
35.33333333,3422,261.983
35.5,3461,262.023
35.83333333,3541,262.104
36,3612,262.173
36.16666667,3673,262.233
36.33333333,3766,262.324
36.5,3860,262.414
36.66666667,3999,262.543
36.83333333,4130,262.664
37,4330,262.844
37.16666667,4548,263.034
37.33333333,4796,263.244
37.5,5051,263.454
37.66666667,5352,263.693
37.83333333,5651,263.923
38,5945,264.144
38.16666667,6277,264.384
38.33333333,6546,264.574
38.5,6896,264.814
38.66666667,7241,265.043
38.83333333,7496,265.213
39,7834,265.443
39.16666667,8075,265.604
39.33333333,8396,265.814
39.5,8693,266.003
39.66666667,8932,266.154
39.83333333,9206,266.324
40,9429,266.46
40.16666667,9667,266.604
40.33333333,9868,266.723
40.5,10177,266.904
40.66666667,10402,267.034
40.83333333,10559,267.124
41,10745,267.284
41.66666667,11214,267.724
41.83333333,11311,267.814
42,11415,267.91
42.16666667,11570,268.054
42.33333333,11651,268.128
42.5,11777,268.244
42.66666667,11889,268.348
42.83333333,12020,268.468
43,12103,268.543
43.16666667,12202,268.634
43.33333333,12301,268.724
43.5,12400,268.814
43.66666667,12510,268.914
43.83333333,12609,269.003
44,12720,269.104
44.16666667,12809,269.183
44.33333333,12887,269.253
44.5,12954,269.314
44.66666667,13042,269.393
44.83333333,13099,269.444
45,13169,269.506
45.33333333,13305,269.628
45.5,13381,269.695
45.66666667,13420,269.73
45.83333333,13479,269.783
46,13544,269.84
46.16666667,13605,269.895
46.33333333,13651,269.935
46.5,13698,269.977
46.66666667,13743,270.017
46.83333333,13809,270.075
47,13879,270.137
47.16666667,13918,270.171
47.33333333,13983,270.229
47.5,14064,270.3
47.66666667,14117,270.347
47.83333333,14170,270.393
48,14201,270.42
48.16666667,14247,270.46
48.33333333,14300,270.506
48.5,14375,270.572
48.66666667,14419,270.611
48.83333333,14463,270.649
49,14522,270.701
49.16666667,14589,270.759
49.33333333,14651,270.813
49.5,14692,270.849
49.66666667,14725,270.877
49.83333333,14789,270.932
50,14836,270.974
50.16666667,14887,271.018
50.33333333,14941,271.064
50.5,14993,271.11
50.66666667,15009,271.124
50.83333333,15066,271.172
50.95,15117,271.217
51.08333333,15194,271.283
51.2,15244,271.326
51.33333333,15273,271.351
51.45,15301,271.375
51.58333333,15348,271.416
51.7,15370,271.434
51.83333333,15424,271.481
51.95,15462,271.513
52.08333333,15500,271.546
52.2,15555,271.593
52.31666667,15615,271.644
52.45,15645,271.67
52.56666667,15682,271.702
52.7,15713,271.728
52.81666667,15756,271.765
52.95,15785,271.79
53.06666667,15818,271.818
53.2,15861,271.855
53.31666667,15902,271.89
53.43333333,15934,271.916
53.56666667,15976,271.953
53.68333333,16004,271.976
53.81666667,16073,272.035
53.93333333,16113,272.069
54.06666667,16156,272.105
54.18333333,16206,272.147
54.31666667,16244,272.18
54.43333333,16295,272.223
54.56666667,16342,272.263
54.68333333,16391,272.304
54.8,16430,272.337
54.93333333,16454,272.357
55.05,16492,272.389
55.18333333,16543,272.432
55.3,16590,272.472
55.43333333,16619,272.496
55.55,16655,272.527
55.68333333,16686,272.553
55.8,16721,272.583
55.91666667,16758,272.613
56.05,16802,272.65
56.16666667,16826,272.67
56.3,16868,272.706
56.41666667,16897,272.73
56.55,16927,272.755
56.66666667,16956,272.779
56.8,16997,272.813
56.91666667,17035,272.845
57.05,17075,272.879
57.16666667,17118,272.915
57.33333333,17162,272.952
57.5,17207,272.989
57.66666667,17251,273.026
57.83333333,17304,273.07
58,17347,273.105
58.16666667,17395,273.146
58.33333333,17425,273.171
58.5,17450,273.191
58.66666667,17482,273.218
58.83333333,17506,273.239
59,17540,273.266
59.16666667,17568,273.29
59.5,17611,273.325
59.83333333,17643,273.352
60,17655,273.361
60.16666667,17664,273.369
60.33333333,17674,273.378
60.5,17679,273.381
60.66666667,17684,273.386
60.83333333,17689,273.39
61.33333333,17697,273.397
61.5,17700,273.399
61.83333333,17702,273.401
62,17702,273.401
62.16666667,17702,273.401
62.33333333,17698,273.398
62.5,17695,273.395
62.66666667,17692,273.392
62.83333333,17689,273.39
63.16666667,17678,273.381
63.33333333,17669,273.374
63.5,17655,273.361
63.66666667,17631,273.342
63.83333333,17611,273.325
64.03333333,17590,273.308
64.23333333,17553,273.277
64.43333333,17522,273.251
64.63333333,17495,273.229
64.83333333,17470,273.208
65.03333333,17437,273.181
65.23333333,17388,273.14
65.43333333,17344,273.103
65.63333333,17299,273.066
